name,desc,year,wiki_url,en,cat,inv,sig,id,outEdges
雕版印刷,中国古代重要发明，唐代已有成熟应用。现存最早印刷品包括《陀罗尼经》和《金刚经》，后者可追溯至868年，书法雕刻精巧。印刷技术用于历书等实用物品，对文化传播产生深远影响。,650,https://zh.wikipedia.org/wiki/%E9%9B%95%E7%89%88%E5%8D%B0%E5%88%B7,Woodblock Printing,culture,唐代工匠,唐代成熟应用，推动书籍与历书传播，促进文化普及,woodblock_printing,[]
活字印刷,中国古代四大发明之一，由北宋工匠毕升于11世纪发明，使用陶土活字。沈括在《梦溪笔谈》中记载此技术，后经元朝王祯改进木活字，明朝华燧完善铜活字，清朝徐志定发展瓷版印刷，极大推动了书籍生产和文化传播。,1088,https://zh.wikipedia.org/wiki/%E6%B4%BB%E5%AD%97%E5%8D%B0%E5%88%B7,Movable Type,culture,毕昇,推动书籍复制效率跃升，开启印刷技术新阶段,movable_type,[]
古书装订,中国古代书籍装订技术历经演变。晚唐时期纸本书从书卷转向折页成册，宋代发展出'蝴蝶'装订，元代改进书背保护，明代采用线缝装订。这些创新促进了书籍保存与传播，体现了中国印刷文化的发展。,960,https://zh.wikipedia.org/w/index.php?title=%E6%9D%B1%E4%BA%9E%E5%82%B3%E7%B5%B1%E8%A3%BD%E5%86%8A&action=edit&redlink=1,Ancient Chinese Bookbinding,culture,工匠,促进书籍保存与传播，体现印刷文化发展,ancient_chinese_bookbinding,[]
水运浑象,中国古代天文仪器，由汉朝耿寿昌于前52年独立发明浑象，东汉张衡首次应用水车和齿轮驱动浑象，利用水钟提供动力并改进补偿水箱，推动天文学发展。,-52,https://zh.wikipedia.org/wiki/%E6%B5%91%E8%B1%A1,Water-Powered Celestial Globe,science,张衡,首次应用水力驱动浑象，改进补偿水箱，推动天文学观测精度提升,water_powered_celestial_globe,[]
打捞,中国古代打捞技术历史悠久。公元前219年，秦始皇曾尝试打捞泗水九鼎未果。宋朝时期，僧人怀丙利用浮力原理成功打捞黄河铁牛，通过船只装载土后弃土产生浮力将重物拖起，展现了先进的工程智慧。,-219,https://zh.wikipedia.org/wiki/%E6%89%93%E6%92%88,Ancient Salvage Technology,engineering,怀丙,宋代僧人怀丙利用浮力原理打捞黄河铁牛，展现古代工程智慧。,ancient_salvage_technology,[]
漕船,漕船是中国古代船舶的独特设计，起源于汉朝中叶后，具有方形船首船尾和扁平船体。它采用平铺型船体，无龙骨和尾骨，以坚实横向舱壁替代结构性肋材。据万震《南州异物志》记载，漕船使用前后帆，可搭载大量人员和货物，体现了古代中国造船技术的先进性。,-202,https://zh.wikipedia.org/w/index.php?title=%E6%BC%95%E8%88%B9&action=edit&redlink=1,Cao Ship,navigation,汉朝工匠,采用平铺船体与前后帆设计，提升古代内河运输效率,cao_ship,[]
水力风箱,中国古代冶铁技术的重要发明。东汉杜诗利用水车驱动风箱，提高了冶铁产量，将旋转运动转换为往复运动，对冶铁业发展有重大意义。,38,https://zh.wikipedia.org/wiki/%E9%A3%8E%E7%AE%B1,Water-Powered Bellows,metallurgy,杜诗,利用水车驱动风箱，提高冶铁产量，推动冶铁业发展,water_powered_bellows,[]
传动带,中国古代传动带技术源远流长。汉朝扬雄在《方言》中提及皮带传动用于卷纬机，魏晋马钧发明相关机械，宋朝秦观《蚕书》描述缫丝设备，元朝王祯《农书》记载多轴纺车应用。此技术对纺车发展至关重要，促进了纺织业进步。,-15,https://zh.wikipedia.org/wiki/%E5%B8%A6_(%E6%9C%BA%E6%A2%B0),Transmission Belt,textile,工匠,提升纺车效率，推动古代纺织技术发展,transmission_belt,[]
钻探,中国古代钻探技术历史悠久，至少不晚于汉朝已用于开采卤水和采矿。四川汉代陵墓浮雕描绘了深部钻探场景，钻孔深度可达600米。河北兴隆西汉青铜铸造厂附近有深达100米的采矿竖井，采用木料和铁工具建造。这些技术展示了古代中国在钻探领域的先进成就。,-202,https://zh.wikipedia.org/wiki/%E9%92%BB%E6%8E%A2,Ancient Chinese Drilling,engineering,汉代工匠,汉代已用于深井开采，钻孔深度达600米，展现先进工程技术。,ancient_chinese_drilling,[]
多管条播机,中国古代农业机械，最早发明于前2世纪的汉朝时期，称为耧车或多管条播机。它能在短时间内将种子播成一条直线，提高播种效率，对古代中国农业发展有重要贡献。,-200,https://zh.wikipedia.org/wiki/%E8%80%AC,Multi-tube Seed Drill,agriculture,汉朝工匠,提高播种效率，促进古代中国农业发展,multi_tube_seed_drill,[]
青瓷,青瓷是中国古代陶瓷的重要类型，东汉时期在浙江已有相关碎片出土，三国时期已广为人知。北宋初期烧制技术成熟，龙泉青瓷等产品釉色独特，对后世景德瓷和德化白瓷的发展有重要影响。,25,https://zh.wikipedia.org/wiki/%E9%9D%92%E7%93%B7,Celadon Porcelain,craft,工匠,东汉起源，北宋成熟，釉色独特，影响后世陶瓷发展,celadon_porcelain,[]
负数,中国古代在《九章算术》中已有负数记载，刘徽于公元263年评注时使用算筹系统，以黑筹表示负数、红筹表示正数，并采用倾斜摆放方式。这体现了早期数学中对负数的认知与应用。,179,https://zh.wikipedia.org/wiki/%E8%B4%9F%E6%95%B0,Negative Number Notation,math,刘徽,《九章算术》记载负数，刘徽用算筹系统表示，推动早期数学发展,negative_number_notation,[]
卡瓦列里原理,中国古代数学原理，最早记载于汉朝《九章算术》，由魏朝数学家刘徽评注。描述等高处横截面积相等的两个同高立体体积相等，体现了古代中国在几何学方面的成就。,-202,https://zh.wikipedia.org/wiki/%E7%A5%96%E6%9A%85%E5%8E%9F%E7%90%86,Cavalieri's Principle in Ancient China,math,刘徽,中国古代几何学重要原理，记载于《九章算术》，体现早期数学成就。,cavalieri_s_principle_in_ancient_china,[]
曲柄,曲柄在中国古代技术中应用广泛。最早见于前1世纪汉朝的陶陪葬模型，用于风扇车。唐宋时期扩展至谷物磨坊、丝绸缫丝机、水力风箱等装置，推动农业和手工业发展。,-100,https://zh.wikipedia.org/wiki/%E6%9B%B2%E6%9F%84,Crank Handle,engineering,工匠,应用于风扇车、磨坊等，推动古代农业和手工业发展,crank_handle,[]
精炼炉,中国古代用于炼铁的重要设备，最早可追溯至战国时期（前403年-前221年），汉朝早期铁生沟遗址发现铸铁精炼成熟铁与钢的样本。精炼过程涉及加热铸铁液化并通过氧化还原反应去碳，在传统中国冶炼中具有重要特征。,-403,https://zh.wikipedia.org/w/index.php?title=%E7%B2%BE%E7%82%BC%E7%82%89&action=edit&redlink=1,Refining Furnace,metallurgy,战国工匠,中国古代炼铁关键设备，促进铸铁向钢的转化，提升冶金技术,refining_furnace,[]
万向轴,中国古代称为'被中香炉'，由汉朝丁缓发明，利用金属环保持炉心水平。唐朝有银制品留存，梁朝用于门窗铰链，公元692年进献武则天的暖炉也使用了此技术。,-179,https://zh.wikipedia.org/wiki/%E4%B8%87%E5%90%91%E8%BD%B4,Gimbal Mechanism,engineering,丁缓,汉朝发明，用于保持炉心水平，后扩展至门窗铰链与暖炉，体现早期机械平衡技术,gimbal_mechanism,[]
玉衣,玉衣是中国汉朝时期贵族使用的殓葬服饰，以玉片和金丝制成。考古发现如河北中山靖王刘胜墓出土的玉衣，证实了古文献记载。玉衣在西汉和东汉时期流行，主要分布在河北、山东等地，后于魏文帝时期被禁用而逐渐消失。,-180,https://zh.wikipedia.org/wiki/%E7%8E%89%E8%A1%A3,Jade Burial Suit,culture,汉朝工匠,汉代贵族殓葬服饰，体现玉文化在丧葬中的重要性,jade_burial_suit,[]
立体地势图,中国古代已有立体地势图记载。汉朝马援于公元32年用米堆制作，刘宋谢庄建造可拆卸木制模型，宋朝沈括受命制作三维地图，宋神宗下令推广，朱熹也仿制黏土木材模型，用于军事和地理展示。,-221,https://zh.wikipedia.org/wiki/%E5%9C%B0%E5%9B%BE%E5%AD%A6,Three-Dimensional Relief Maps,engineering,工匠,用于军事和地理展示，提升地形认知与战略规划能力,three_dimensional_relief_maps,[]
地震仪,汉朝张衡于公元132年发明，为世界首台地震仪，利用惯性原理通过金属球掉落指示地震方向，用于朝廷救灾。后世朝代沿用其设计至唐朝，元代周密亦有记载。,132,https://zh.wikipedia.org/wiki/%E5%9C%B0%E9%9C%87%E5%84%80,Seismoscope,science,张衡,世界首台地震仪，利用惯性原理指示地震方向，用于朝廷救灾。,seismoscope,[]
独轮车,独轮车在中国西汉时期（公元前1世纪）已有文字记载，东汉时期（公元2世纪）的四川成都扬子山二号墓壁画描绘了其使用状况，表明其在中国古代的应用历史。,-100,https://zh.wikipedia.org/wiki/%E7%8D%A8%E8%BC%AA%E8%BB%8A,Wheelbarrow,engineering,工匠,中国古代运输工具，提高搬运效率，促进农业与工程建设。,wheelbarrow,[]
水车动力傀儡戏,中国古代机械玩偶剧场，由三国时期巧匠马钧发明，称为'水转百戏'。利用水车动力驱动木偶表演杂耍、奏乐、跳舞等复杂动作，展现了古代中国在机械自动化领域的先进技术，对后世傀儡戏发展有重要影响。,226,https://zh.wikipedia.org/wiki/%E9%A9%AC%E9%92%A7,Water-Powered Puppet Theater,engineering,马钧,利用水车驱动木偶表演，展现古代机械自动化技术，影响后世傀儡戏发展。,water_powered_puppet_theater,[]
风扇车,风扇车是中国古代用于谷物加工的农具，最早在汉代陶制模型中出现，唐代颜师古在《急就篇》评注中提及，宋代梅尧臣的诗作也有描述。元代王祯《农书》收录了最早的插画，主要用于分离粗糠和谷物。,-40,https://zh.wikipedia.org/wiki/%E9%A3%8E%E6%89%87%E8%BD%A6,Winnowing Fan,agriculture,汉代工匠,汉代出现，用于谷物加工，提高分离粗糠效率，促进农业发展,winnowing_fan,[]
旋转风扇,汉朝匠人丁缓发明了手操作旋转风扇，唐朝时期发展为水力驱动，宋朝时更加普及，用于通风降温。,180,https://zh.wikipedia.org/wiki/%E9%A3%8E%E6%89%87,Hand and Water Powered Fans,engineering,丁缓,汉朝发明，唐朝水力化，宋朝普及，用于通风降温技术,hand_and_water_powered_fans,[]
铬,中国在公元前210年已发明铬的利用，秦始皇兵马俑遗址出土的铜制箭头镀铬防腐蚀，展示了古代工匠的先进技术。这一发现早于西方，体现了中国古代在金属处理方面的成就。,-210,https://zh.wikipedia.org/wiki/%E9%93%AC,Chromium Use in Ancient China,metallurgy,秦代工匠,秦代已用铬镀铜箭防腐，早于西方，体现古代金属处理先进技术。,chromium_use_in_ancient_china,[]
象棋,象棋起源于中国，历史学者认为可能由汉朝韩信发明，后经北周武帝还原。隋朝曾遭禁，唐代唐太宗着迷，诗人白居易为其赋诗。在中国衍生出暗棋等变种，具有悠久历史。,-196,https://zh.wikipedia.org/wiki/%E8%B1%A1%E6%A3%8B,Chinese Chess,culture,韩信,起源于中国，经汉朝韩信发明，后流传演变，成为传统棋类游戏。,chinese_chess,[]
走马灯,中国古代一种利用热气流驱动的旋转灯。秦汉时期已有记载，汉代晚期工匠丁缓制作'九层博山香垆'为早期实例。通过蜡烛或油灯加热，使顶部叶片旋转带动纸筒，呈现动态图案，常用于娱乐和宗教仪式，后世多有仿制。,-121,https://zh.wikipedia.org/wiki/%E8%B5%B0%E9%A9%AC%E7%81%AF,Chinese Zoetrope Lantern,craft,丁缓,利用热气流驱动旋转，用于娱乐和宗教仪式，体现早期机械原理,chinese_zoetrope_lantern,[]
科举,中国古代选拔官员的制度。起源于隋朝，向非商阶级男性开放，成为全国任官必要条件。宋代扩大规模，采用誊录等方法确保公平，对仕绅阶层影响深远。,581,https://zh.wikipedia.org/wiki/%E7%A7%91%E4%B8%BE,Imperial Examination System,culture,隋朝,开创官员选拔新制度，影响中国社会结构千年,imperial_examination_system,[]
盘山渠道,秦始皇统一后，命令史禄开凿灵渠，连接湘江和漓江，用于向南输送粮草以征服百越。据《史记》记载，这是世界上最古老的盘山渠道，沿山鞍轮廓开凿，后期有36道陡门。,-221,https://zh.wikipedia.org/w/index.php?title=%E7%9B%98%E5%B1%B1%E6%B8%A0%E9%81%93&action=edit&redlink=1,Mountain Contour Canal,engineering,史禄,连接湘江与漓江，用于输送粮草，促进南方统一与水利工程发展,mountain_contour_canal,[]
连弩,连弩是中国古代的一种弩机，可连续发射多支箭矢，提高了射击效率。在三国时期，诸葛亮对其进行了改进，增强了军事作战能力，广泛应用于古代战争中，体现了中国在兵器制造方面的创新。,255,https://zh.wikipedia.org/wiki/%E9%80%A3%E5%BC%A9,Repeating Crossbow,military,诸葛亮,提高射击效率，增强军事作战能力，体现兵器制造创新,repeating_crossbow,[]
合成钢,中国古代合成钢工艺最早明确记载于6世纪道家匠人綦母怀文，融合熟铁与铸铁生产钢铁。唐代《新修本草》和明代《天工开物》详细描述了制程，用于锻造镰刀、刀剑等工具，比西方平炉技术更早。,543,https://zh.wikipedia.org/wiki/%E7%82%BC%E9%92%A2,Synthetic Steel,metallurgy,綦母怀文,融合熟铁与铸铁，提升钢铁质量，用于工具和武器制造,synthetic_steel,[]
马鞅,马鞅是中国古代对轭具的重要改进，最早可追溯至公元前1世纪的汉朝砖画。北魏敦煌壁画和唐朝壁画均有描绘，用于马匹或骆驼，提升了牵引效率。,-100,https://zh.wikipedia.org/w/index.php?title=%E9%A9%AC%E9%9E%85&action=edit&redlink=1,Horse Yoke,engineering,汉朝工匠,改进轭具设计，提升马匹牵引效率，促进古代运输发展,horse_yoke,[]
磨车,中国古代机械装置，最早见于后赵时期（319年-351年）陆翙《邺中记》，由解飞和魏猛变发明。磨车是一种兽力车，通过车轮运动带动磨石旋转，用于磨碎小麦等谷物，后失传。明代《远西奇器图说录最》中提及西方类似装置源于中国。,319,https://zh.wikipedia.org/w/index.php?title=%E7%A3%A8%E8%BD%A6&action=edit&redlink=1,Animal-powered Grinding Cart,engineering,解飞和魏猛变,后赵时期发明的兽力磨谷机械，提高谷物加工效率，后失传。,animal_powered_grinding_cart,[]
油墨,油墨最早在中国出现，可追溯至公元前3千年或曹魏时期。宋代沈括首次从石油油烟中提取墨，李时珍记载其光泽如漆，优于松烟墨，推动了书写材料发展。,-3000,https://zh.wikipedia.org/wiki/%E6%B2%B9%E5%A2%A8,Ink from Petroleum Soot,culture,沈括,宋代从石油油烟提取，光泽如漆，推动书写材料发展,ink_from_petroleum_soot,[]
水密隔舱,中国古代造船技术，最早记载见于5世纪《异苑》。宋朝朱彧《萍洲可谈》描述中国船只建有舱壁，1973年出土的宋代沉船考古证实船体分隔成12个防水房室，建造于1277年。西方学者如马可波罗等视其为中国独创，西方造船19世纪才采用此布局。,500,https://zh.wikipedia.org/wiki/%E6%B0%B4%E5%AF%86%E9%9A%94%E8%88%B1,Watertight Compartments,navigation,工匠,提高船舶抗沉性，影响世界造船技术发展,watertight_compartments,[]
火柴,中国古代发明，最早可追溯至公元577年北齐时期，由宫女为生火取暖而创制。早期火柴以松木棒浸硫磺制成，需用火焰点燃，后商品化为'火寸'，记载于五代十国陶谷的《清异录》中。,577,https://zh.wikipedia.org/wiki/%E7%81%AB%E6%9F%B4,Early Chinese Match,craft,宫女,早期火柴发明，用于生火取暖，后发展为商品'火寸'。,early_chinese_match,[]
风筝载人飞行,中国古代风筝载人飞行的历史记载可追溯至北齐时期。据《北史》和《资治通鉴》记载，齐文宣帝曾用死囚进行风筝载人试验，如元黄头飞行约3.2公里。这些事件反映了早期中国对飞行技术的探索。,550,https://zh.wikipedia.org/w/index.php?title=%E9%A3%8E%E7%AD%9D%E8%BD%BD%E4%BA%BA%E9%A3%9E%E8%A1%8C&action=edit&redlink=1,Kite Human Flight,engineering,北齐工匠,早期飞行技术探索，体现中国古代工程创新精神,kite_human_flight,[]
自动门,据《太平广记》记载，隋朝隋炀帝在皇宫观文殿设有私人图书馆，其中书堂入口装有脚踏触发机关，能自动拉开锦幔、半开门扉并开启书橱，展现了中国古代机械技术的创新应用。,618,,Foot-Triggered Automatic Door,engineering,隋朝工匠,隋朝皇宫机械装置，体现古代自动化技术应用,foot_triggered_automatic_door,[]
气瓶,中国古代利用天然气和石油的便携式容器。汉朝起用竹管运输天然气煮盐，唐朝有'火井'记载，宋朝用竹筒装石油照明，清朝方志描述皮囊装天然气提供光和热。,-202,https://zh.wikipedia.org/wiki/%E6%B0%94%E7%93%B6,Ancient Chinese Gas Container,engineering,工匠,利用天然气和石油的便携式容器，促进能源利用与照明技术发展,ancient_chinese_gas_container,[]
纸币,纸币最早在中国唐代出现，源于商家的储金收据。宋代政府为应对铜币短缺，于11世纪早期授权私人银行发行纸币，后于1023年设立机构监管印行，12世纪推广全国，成为世界上最早的纸币体系。,618,https://zh.wikipedia.org/wiki/%E7%BA%B8%E5%B8%81,Paper Money,trade,宋代政府,世界上最早的纸币体系，促进贸易流通，应对货币短缺问题,paper_money,[]
透光镜,中国古代铜镜，唐代《古镜记》记载其浇铸方法，宋代沈括《梦溪笔谈》描述其传家宝。镜面抛光后反射光线时，能将背面花纹投影于光晕中，产生透光效果，得名'透光镜'。沈括推测镜面有细微纹路，虽解释不准确，但揭示了其不透明本质。,800,https://zh.wikipedia.org/wiki/%E5%8F%A4%E9%95%9C,Light-Transmitting Mirror,craft,工匠,唐代记载浇铸方法，宋代沈括描述其透光现象，体现古代铜镜工艺与光学探索。,light_transmitting_mirror,[]
擒纵器,擒纵机构最早用于钟表机械由唐代僧侣一行开发，应用于水力浑象仪，后见于张思训和苏颂的浑仪。中国古代擒纵器利用重力与水力驱动，实现定时击鼓撞钟，不同于西方机械钟的砝码驱动机制。,618,https://zh.wikipedia.org/wiki/%E6%93%92%E7%BA%B5%E5%99%A8,Chinese Escapement Mechanism,engineering,一行,唐代僧侣一行开发，应用于水力浑象仪，实现定时功能，推动古代计时技术发展。,chinese_escapement_mechanism,[]
披水板,中国古代航海技术发明，用于减少风力造成的背风漂移。唐朝李筌在《太白阴经》中首次记载，描述战船使用披水板以保持航向稳定，防止翻船。这一发明体现了古代中国在船舶控制方面的智慧，对后世航海发展有重要影响。,759,https://zh.wikipedia.org/w/index.php?title=%E6%8A%AB%E6%B0%B4%E6%9D%BF&action=edit&redlink=1,Leeboard,navigation,李筌,唐朝战船用于稳定航向，减少背风漂移，提升航海安全性。,leeboard,[]
