name,desc,year,wiki_url,en,cat,inv,sig,id,outEdges
风筝,中国古代发明，最早记载见于《墨子》，鲁国公输班制木鸟飞行。南北朝时用于军事信号，如梁武帝被围时求救。敦煌壁画显示北魏时作为消遣，宋代和明代文献也有类似描述。,-500,https://zh.wikipedia.org/wiki/%E9%A3%8E%E7%AD%9D,Kite,culture,鲁国公输班,早期用于军事信号，后发展为民间娱乐，体现古代飞行探索,kite,[]
小孔成像,中国古代对光学现象的重要发现。墨家创始人墨子及其弟子在《墨经》中详细描述小孔成像原理，指出光线通过针孔可形成倒立影像。宋代沈括基于唐代段成式记载，进一步探讨此现象，推动了中国古代光学发展。,-391,https://zh.wikipedia.org/wiki/%E5%B0%8F%E5%AD%94%E6%88%90%E5%83%8F,Pinhole Imaging,science,墨子,墨家发现光学原理，推动中国古代光学发展,pinhole_imaging,[]
斗栱,斗栱是中国古代建筑特有的木制托架，至少自西周起用于支撑屋顶。它由斗和拱组成，兼具结构支撑与装饰功能，宋代《营造法式》有详细记载。,-1050,https://zh.wikipedia.org/wiki/%E6%96%97%E6%A0%B1,Dougong Bracket,engineering,工匠,中国古代建筑核心结构，兼具支撑与装饰功能，影响深远。,dougong_bracket,[]
织布机,织布机是中国古代发明，最早可追溯至战国时期的楚国，约公元前400年。汉代文献和纺织品分析表明，当时已使用织布机生产华丽织物，对中国纺织业发展有重要影响。,-400,https://zh.wikipedia.org/wiki/%E7%BB%87%E5%B8%83%E6%9C%BA,Loom,textile,工匠,提升织物生产效率，推动中国古代纺织业发展,loom,[]
刀币,中国古代青铜货币，主要用于春秋至战国时期的燕、齐、赵、韩、楚、梁、秦等国。据司马迁《史记》记载，刀与龟壳、贝、金曾在古代作为货币，体现了早期中国的货币发展。,-771,https://zh.wikipedia.org/wiki/%E5%88%80%E5%B8%81,Knife Money,trade,先民,早期青铜货币，促进春秋战国时期贸易流通与经济发展,knife_money,[]
折叠伞,折叠伞在中国有悠久历史，最早文字记载可追溯至新朝（9-23年），王莽曾要求安装在马车上。汉代考古出土残骸证实其使用，周朝时期可能已有复杂枢纽设计。魏朝时伞面材料从丝绸转向桑树皮油纸。,-600,https://zh.wikipedia.org/wiki/%E4%BC%9E,Folding Umbrella,craft,工匠,汉代已有使用，材料从丝绸转向油纸，体现古代工艺发展,folding_umbrella,[]
古琴,古琴是中国最古老的弦乐器之一，至少可追溯至商朝，甲骨文中有相关记载。周朝时期流行，汉代已有指法乐谱。唐代以来，古琴被尊为文人四艺之一，与仕绅阶层紧密相关，并在宋代绘画中有所体现。,-1600,https://zh.wikipedia.org/wiki/%E5%8F%A4%E7%90%B4,Ancient Chinese Zither,culture,先民,中国最古老弦乐器之一，商朝已有记载，成为文人四艺核心,ancient_chinese_zither,[]
带犁板铁犁,中国古代铁犁的重要发展。最早铁犁可追溯至周朝约公元前500年。汉代铸铁技术改进，出现重型带犁板铁犁，用于翻土和防阻塞，墓刻砖等艺术作品中有所描绘，标志着农业工具的重大进步。,-500,https://zh.wikipedia.org/w/index.php?title=%E9%87%8D%E5%9E%8B%E5%B8%A6%E7%8A%81%E6%9D%BF%E9%93%81%E7%8A%81&action=edit&redlink=1,Heavy Iron Plow with Moldboard,agriculture,汉代工匠,汉代铁犁改进，提高翻土效率，推动农业生产力发展,heavy_iron_plow_with_moldboard,[]
曲辕犁,曲辕犁，又称江东犁，是中国唐朝时期发明的犁具，见于敦煌莫高窟第445窟壁画，中国国家博物馆有复制模型。其设计改进提高了耕作效率，对古代中国农业发展有重要贡献。,618,https://zh.wikipedia.org/wiki/%E6%9B%B2%E8%BE%95%E7%8A%81,Curved-Shaft Plow,agriculture,唐朝工匠,改进犁具设计，提升耕作效率，促进古代农业发展,curved_shaft_plow,[]
直辕犁,直辕犁是中国古代的一种犁具，出现于西汉时期，由耒耜发展而来，其特点是犁辕为直形。汉代耕犁多属此类，标志着早期农业耕作技术的进步。,-202,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%BE%95%E7%8A%81,Straight Beam Plow,agriculture,汉代工匠,标志着早期农业耕作技术的进步，提高耕作效率,straight_beam_plow,[]
坎儿井,坎儿井是干旱地区的一种地下水利工程，用于灌溉荒漠地带。在中国新疆吐鲁番地区普遍分布，体现了古代劳动人民的智慧，对当地农业发展有重要作用。,-1000,https://zh.wikipedia.org/wiki/%E5%9D%8E%E5%85%92%E4%BA%95,Karez Irrigation System,engineering,先民,干旱地区的地下水利工程，促进新疆农业发展，体现古代智慧。,karez_irrigation_system,[]
筒车,筒车是中国古代的轮式提水机械，用于农田灌溉，可将低处水提至高处。以水力和畜力为动力，南方多竹制，北方多木制，体现了古代农业灌溉技术的智慧。,600,https://zh.wikipedia.org/wiki/%E7%AD%92%E8%BD%A6,Water Wheel for Irrigation,agriculture,工匠,提升农田灌溉效率，展现古代农业机械智慧,water_wheel_for_irrigation,[]
都江堰,都江堰是中国古代水利工程，位于四川省，由李冰父子在战国时期修建。它利用无坝引水技术，有效控制岷江水流，用于灌溉和防洪，至今仍在使用，是世界水利史上的杰作。,-256,https://zh.wikipedia.org/wiki/%E9%83%BD%E6%B1%9F%E5%A0%B0,Dujiangyan Irrigation System,engineering,李冰父子,战国时期修建，无坝引水技术，用于灌溉防洪，至今仍在使用。,dujiangyan_irrigation_system,[]
浑象,浑象是中国古代表现天体运动的演示仪器，类似天球仪。公元前4世纪，战国时期的石申和甘德最早制作浑象，用于天文观测和演示，体现了古代中国的天文学成就。,-400,https://zh.wikipedia.org/wiki/%E6%B5%91%E8%B1%A1,Celestial Globe,science,石申、甘德,古代演示天体运动的天文仪器，体现早期天文学成就,celestial_globe,[]
水运仪象台,北宋苏颂发明的自动化天文演示装置，集观测、计时与演示功能于一体，利用水力驱动，代表中国古代天文仪器制造的高峰。,1101,https://zh.wikipedia.org/wiki/%E6%B0%B4%E9%81%8B%E5%84%80%E8%B1%A1%E5%8F%B0,Water-Powered Astronomical Clock Tower,science,苏颂,集观测、计时、演示于一体，代表中国古代天文仪器制造高峰,water_powered_astronomical_clock_tower,[]
指南车,指南车，又称司南车，是中国古代一种利用差速器辨认方向的仪器。传说由轩辕黄帝或周公发明，可靠记载见于三国时魏国马钧制作。车上小人手指南方，用于指示方向。,220,https://zh.wikipedia.org/wiki/%E6%8C%87%E5%8D%97%E8%BD%A6,South-Pointing Chariot,navigation,马钧,利用差速器指示方向，是中国古代重要的导航仪器。,south_pointing_chariot,[]
木牛流马,三国时期蜀汉丞相诸葛亮及蒲元等人发明的运输工具，分为木牛与流马，用于北伐时运输粮食，载重量约二百公斤以上，每日行程数十里，为蜀军提供后勤支持，具体构造现已不明。,231,https://zh.wikipedia.org/wiki/%E6%9C%A8%E7%89%9B%E6%B5%81%E9%A9%AC,Wooden Ox and Gliding Horse,engineering,诸葛亮及蒲元,三国时期蜀汉发明的运输工具，用于北伐后勤支持，提升粮食运输效率。,wooden_ox_and_gliding_horse,[]
滑轮,中国古代重要的机械传动部件，用于改变力的方向或省力。最早出现于汉代的画像砖和陶井模，在《墨经》中也有相关记载。,-206,https://zh.wikipedia.org/wiki/%E6%BB%91%E8%BD%AE,Pulley,engineering,汉代工匠,汉代已用于机械传动，改变力的方向或省力，提升效率。,pulley,[]
链条传动,中国早在公元二世纪已有链条传动应用。东汉毕岚发明的翻车运用链轮传动原理，北宋张思训将其用于天文钟，体现了古代机械技术的进步。,100,https://baike.baidu.com/item/%E5%82%B3%E5%8B%95%E9%8F%88%E6%A2%9D/8364708,Chain Drive,engineering,毕岚,东汉翻车应用链轮传动，北宋用于天文钟，体现古代机械技术进步,chain_drive,[]
齿轮传动,中国古代机械核心技术。山西侯马东周晋国铸铜遗址出土了迄今所知最早的青铜齿轮，用于辘轳等机械的止动功能。汉代齿轮技术进一步发展，被用于传动机械。,-770,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E9%9D%92%E9%93%9C%E9%BD%BF%E8%BD%AE/10232139,Gear Transmission,engineering,工匠,中国古代机械核心技术，用于辘轳等机械，汉代进一步发展传动应用。,gear_transmission,[]
水力磨坊,中国古代利用水力驱动的磨坊，用于研磨谷物。汉朝时期已有应用，东汉杜诗发明水排，祖冲之设计水碓磨，体现早期机械传动技术。,31,https://zh.wikipedia.org/wiki/%E6%B0%B4%E7%A3%A8,Water-Powered Mill,engineering,工匠,利用水力驱动研磨谷物，体现早期机械传动技术，提升生产效率。,water_powered_mill,[]
风力磨坊,中国古代利用风能的机械装置，用于驱动磨盘。元朝时期已应用于农业生产，出现了风车和风磨，促进了农业效率提升。,1271,https://zh.wikipedia.org/wiki/%E9%A3%8E%E8%BD%A6,Wind-Powered Mill,agriculture,元朝工匠,利用风能驱动磨盘，提升农业加工效率，促进生产力发展,wind_powered_mill,[]
弩机,弩机是中国古代弓弩的核心部件，用于发射箭矢的机械装置。战国时期已使用青铜弩机，汉代进一步改进完善，在军事战争中发挥了重要作用，体现了古代中国的机械制造智慧。,-475,https://zh.wikipedia.org/wiki/%E5%BC%93%E7%A0%94,Crossbow Trigger Mechanism,military,战国工匠,提升弓弩射击精度与威力，推动古代军事技术进步,crossbow_trigger_mechanism,[]
耧车,耧车是中国古代播种工具，由耧斗、耧腿和耧铧组成，可同时完成开沟和播种。它在汉代得到广泛应用，提高了农业效率，是古代中国农具技术的重要创新。,-202,https://zh.wikipedia.org/wiki/耧车,Seed Drill,agriculture,汉代工匠,提高播种效率，推动古代农业技术发展,seed_drill,[]
秧马,秧马是中国古代用于水田拔秧的坐骑工具，起源于宋代，能减轻农民劳动强度，提高水稻种植效率，体现了古代农业技术的进步。,960,https://zh.wikipedia.org/wiki/秧马,Rice Seedling Horse,agriculture,宋代农民,减轻水田拔秧劳动强度，提高水稻种植效率，体现农业技术进步,rice_seedling_horse,[]
翻车,翻车是中国古代灌溉工具，用于汲水，能连续提取水源。它提高了农业灌溉效率，在中国古代农业生产中发挥了重要作用。,100,https://zh.wikipedia.org/wiki/翻车_(灌溉工具),Water Lifting Device,agriculture,工匠,提高农业灌溉效率，促进古代农业生产发展,water_lifting_device,[]
脚踏水车,中国古代农业灌溉工具，需人力踩踏驱动，用于提升水位灌溉农田。在汉代已有使用，提高了农业生产效率，是古代水利技术的重要发明。,-206,https://zh.wikipedia.org/wiki/水车,Treadle Water Wheel,agriculture,汉代工匠,提升农田灌溉效率，推动古代水利技术进步,treadle_water_wheel,[]
赵州桥,位于河北赵县，建于隋朝，是世界上现存最早、保存最好的敞肩式拱桥，体现了中国古代桥梁建筑的高超技艺。,605,https://zh.wikipedia.org/wiki/赵州桥,Zhaozhou Bridge,engineering,李春,世界最早敞肩式拱桥，展现隋朝桥梁建筑高超技艺,zhaozhou_bridge,[]
榫卯,榫卯是中国古代木构建筑的核心连接技术，不使用钉子即可实现牢固结合，广泛应用于宫殿、寺庙和民居等建筑中，体现了古代工匠的智慧和工艺水平。,-7000,https://zh.wikipedia.org/wiki/榫卯,Mortise and Tenon Joint,craft,工匠,中国古代木构建筑核心连接技术，体现工匠智慧与工艺水平。,mortise_and_tenon_joint,[]
斗拱,斗拱是中国古代建筑特有的结构构件，用于支撑屋顶和梁架，兼具承重与装饰功能。其起源可追溯至商周时期，在唐宋时期达到成熟，广泛应用于宫殿、寺庙等建筑中，体现了古代工匠的智慧与艺术成就。,-1046,https://zh.wikipedia.org/wiki/斗拱,Dougong Bracket System,engineering,工匠,支撑屋顶与梁架，兼具承重与装饰，体现古代建筑智慧,dougong_bracket_system,[]
万里长城,万里长城是中国古代伟大的防御工程，始建于春秋战国时期，秦朝统一后大规模连接和扩建，后续汉、明等朝代不断修缮和延伸。它主要用于防御北方游牧民族入侵，体现了中国古代军事防御和建筑技术的卓越成就，是世界文化遗产之一。,-770,https://zh.wikipedia.org/wiki/万里长城,Great Wall of China,military,秦朝,中国古代军事防御工程的典范，体现建筑技术成就，保护中原文明。,great_wall_of_china,[]
京杭大运河,京杭大运河是中国古代南北交通大动脉，连接北京和杭州，始建于春秋时期，隋唐时期大规模扩建，促进了经济文化交流，是世界上最长的人工运河。,-770,https://zh.wikipedia.org/wiki/京杭大运河,Grand Canal,engineering,先民,连接南北交通，促进经济文化交流，是世界最长人工运河。,grand_canal,[]
天然气,中国早在汉代就发现和利用天然气，用于照明和煮盐。这一早期应用体现了古代中国在能源利用方面的先进技术。,-202,https://zh.wikipedia.org/wiki/天然气,Natural Gas Utilization,engineering,汉代工匠,汉代发现并用于照明和煮盐，体现古代能源利用的先进技术。,natural_gas_utilization,[]
生铁,生铁是中国古代冶金的产物，用于铸造各种铁器。它在中国历史上广泛应用于农业、军事和日常工具制造，推动了社会生产力的发展。,-600,https://zh.wikipedia.org/wiki/生铁,Pig Iron,metallurgy,先民,推动铁器广泛应用，促进农业、军事和工具制造发展,pig_iron,[]
织机,织机是中国古代重要的纺织工具，用于织造布匹。早在商周时期已有原始织机，汉代出现提花机，促进了丝绸业发展，对古代经济和文化有深远影响。,-1600,https://zh.wikipedia.org/wiki/织机,Loom,textile,先民,推动丝绸业发展，对古代经济和文化产生深远影响,loom,[]
棉纺,棉纺技术在中国宋元时期发展，用于纺制棉布，促进了纺织业的进步，对古代经济和文化有重要影响。,960,https://zh.wikipedia.org/wiki/棉纺,Cotton Spinning,textile,工匠,推动纺织业进步，对古代经济和文化产生重要影响,cotton_spinning,[]
福船,福船是中国古代的一种海船类型，主要航行于东南沿海地区，在宋代至明代期间广泛使用，以其坚固结构和适应远洋航行的能力而闻名，对中国古代海上贸易和航海技术发展有重要贡献。,960,https://zh.wikipedia.org/wiki/福船,Fuchuan Ship,navigation,宋代工匠,坚固结构适应远洋航行，推动海上贸易与航海技术发展,fuchuan_ship,[]
沙船,沙船是中国古代的一种平底浅船，设计用于浅水航行，常见于内河与沿海水域，体现了古代中国造船技术的实用性和适应性。,-1046,https://zh.wikipedia.org/wiki/沙船,Flat-bottomed Shallow-draft Ship,navigation,工匠,适应浅水航行，体现古代中国造船技术的实用性与适应性,flat_bottomed_shallow_draft_ship,[]
车船,车船是中国古代的一种明轮船，以人力踏动桨轮驱动。它在宋代得到广泛应用，用于军事和水上运输，体现了古代中国在船舶技术上的创新。,960,https://zh.wikipedia.org/wiki/车船,Paddle Wheel Boat,engineering,宋代工匠,宋代广泛应用，提升军事与运输效率，体现船舶技术创新。,paddle_wheel_boat,[]
火炮,火炮是中国古代火器，利用火药发射弹丸。起源于宋代，用于军事攻击，推动火器技术发展，对战争史有重要影响。,960,https://zh.wikipedia.org/wiki/火炮,Cannon,military,宋代工匠,推动火器技术发展，对战争史产生重要影响,cannon,[]
虎蹲炮,虎蹲炮是明代中国的一种火器，因其形状类似蹲踞的老虎而得名。它主要用于军事防御和攻击，体现了古代中国在火药武器技术上的发展。,1368,https://zh.wikipedia.org/wiki/虎蹲炮,Tiger Crouching Cannon,military,明代工匠,明代火器代表，提升军事攻防能力，推动火药武器技术发展。,tiger_crouching_cannon,[]
战车,战车是中国古代军事交通工具，用于作战运输。起源于商周时期，作为战争中的核心装备，在车战中发挥重要作用，促进了古代军事战术和交通技术的发展。,-1046,https://zh.wikipedia.org/wiki/战车,Ancient Chinese War Chariot,military,商周工匠,作为战争核心装备，推动古代军事战术和交通技术发展,ancient_chinese_war_chariot,[]
书法,书法是中国传统文化艺术，以汉字为载体，强调书写法则与美学。起源于商周甲骨文，历经篆、隶、楷、行、草等书体演变，成为中华文明的重要象征。,-1600,https://zh.wikipedia.org/wiki/书法,Chinese Calligraphy,culture,先民,以汉字为载体，强调书写法则与美学，成为中华文明的重要象征。,chinese_calligraphy,[]
篆刻,篆刻是中国传统艺术，在印章上雕刻文字，起源于商周时期，秦汉时期发展成熟，广泛应用于官方文书和文人雅士的创作中，具有独特的艺术和文化价值。,-1046,https://zh.wikipedia.org/wiki/篆刻,Seal Carving Art,culture,商周先民,起源于商周，成熟于秦汉，成为官方文书和文人创作的重要艺术形式。,seal_carving_art,[]
太初历,太初历是中国西汉时期制定的历法，由司马迁等人编修，于公元前104年颁行。它采用四分历法，以365.25天为一年，首次将二十四节气纳入历法体系，对后世历法发展产生深远影响。,-104,https://zh.wikipedia.org/wiki/太初历,Taichu Calendar,science,司马迁等人,首次纳入二十四节气，奠定后世历法基础，影响深远。,taichu_calendar,[]
油灯,油灯是中国古代照明工具，以油为燃料，广泛应用于日常生活和祭祀活动，历史悠久，体现了古代中国的照明技术发展。,-2000,https://zh.wikipedia.org/wiki/油灯,Oil Lamp,craft,先民,古代照明工具，推动日常生活与祭祀活动发展,oil_lamp,[]
火折子,火折子是中国古代发明的便携引火工具，常用于日常生活和军事活动，便于快速点燃火源。,-200,https://zh.wikipedia.org/wiki/火折子,Fire Striker,craft,工匠,便携引火工具，提升日常生活与军事活动的点火效率,fire_striker,[]
酿酒,酿酒是中国古代发明，利用谷物发酵酿造酒精饮料。历史可追溯至新石器时代，如贾湖遗址出土的陶器残留物表明早期酿酒活动。在中国古代，酿酒技术不断发展，应用于祭祀、饮食和文化活动中，对中华文明有重要影响。,-7000,https://zh.wikipedia.org/wiki/酿酒,Ancient Chinese Brewing,culture,先民,新石器时代谷物发酵技术，奠定中华酒文化基础,ancient_chinese_brewing,[]
火锅,火锅是中国传统烹饪方式，起源于古代，以边煮边吃为特色，常用于聚餐，体现了中国饮食文化的社交性和多样性，历史悠久。,-200,https://zh.wikipedia.org/wiki/火锅,Hot Pot,culture,先民,体现中国饮食文化的社交性与多样性，历史悠久，常用于聚餐。,hot_pot,[]
铜镜,铜镜是中国古代照面工具，属于青铜器重要种类。其历史可追溯至商周时期，广泛应用于日常生活和礼仪中，反映了古代中国的工艺技术和审美文化。,-1600,https://zh.wikipedia.org/wiki/铜镜,Bronze Mirror,craft,商周工匠,作为青铜器重要种类，体现古代工艺技术与审美文化，广泛应用于生活与礼仪。,bronze_mirror,[]
玉器,玉器是中国古代重要工艺品，用玉石雕刻而成。起源于新石器时代，如红山文化和良渚文化，用于祭祀、装饰和礼仪，体现中华文明的精神内涵和艺术成就。,-5000,https://zh.wikipedia.org/wiki/玉器,Jade Carving,craft,先民,新石器时代起源，用于祭祀装饰，体现中华文明精神与艺术,jade_carving,[]
